Headline,Summary,Category,Date Published,Link to Article
Newer screening tests,"Researchers are developing more screening tests for prostate cancer. Like the PSA test, they rely on biomarkers, such as antigens or proteins, which are elevated or may only be present in men who have prostate cancer. The hope is that these newer tests will better detect existing cancers (better sensitivity), and will not raise the alarm for cancer when it is not present (better specificity).",Harvard Prostate Knowledge,"March 27, 2009",https://www.health.harvard.edu/blog/newer-screening-tests-2009032767
What is a digital rectal exam (DRE)?,"In this test, the doctor inserts a lubricated, gloved finger into the rectum and feels the surface of the prostate to determine whether it is swollen or has any lumps or abnormally textured areas (see Figure 1). This exam also helps doctors screen for diseases of the rectum, such as rectal cancer.",Harvard Prostate Knowledge,"March 27, 2009",https://www.health.harvard.edu/blog/what-is-a-digital-rectal-exam-dre-2009032765
Prostate cancer,,Harvard Prostate Knowledge,"March 25, 2009",https://www.health.harvard.edu/blog/prostate-cancer-2009032548
Prostate Cancer Screening,,Harvard Prostate Knowledge,"March 24, 2009",https://www.health.harvard.edu/blog/prostate-cancer-screening-2009032446
Cancer prevention trial (SELECT) comes to a halt,The National Cancer Institute discontinued the study after finding evidence that selenium and vitamin E supplements did not prevent prostate cancer.,Harvard Prostate Knowledge,"March 19, 2009",https://www.health.harvard.edu/blog/cancer-prevention-trial-select-comes-to-a-halt-2009031943
Intermittent hormone therapy: A patient’s story,"The jury is still out on whether intermittent hormone therapy, which involves repeated cycles of hormone therapy followed by breaks in treatment, might help patients live longer than continuous hormone therapy. But Patrick Kirby’s story might help patients who are debating various options in hormone therapy.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/intermittent-hormone-therapy-a-patients-story-2009031118
Hematospermia demystified,"Spotting blood in your semen can be worrisome, but it’s usually not cause for alarm. ",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/hematospermia-demystified-2009031142
A Harvard expert shares his thoughts on testosterone-replacement therapy,"Dr. Abraham Morgentaler, an associate professor of surgery at Harvard Medical School and the director of Men’s Health Boston, shares his views on current controversies regarding testosterone-replacement therapy.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/a-harvard-expert-shares-his-thoughts-on-testosterone-replacement-therapy-2009031141
New options for treating erectile dysfunction,"Penile rehabilitation, which typically consists of oral or injected medications, alone or with other interventions, may help restore erectile function after treatment for prostate cancer. However, this therapy remains controversial.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/new-options-for-treating-erectile-dysfunction-2009031137
Erectile dysfunction and heart disease: What’s the connection?,"Even if your doctor has given you a clean bill of health, beware: problems getting or keeping an erection firm enough for sexual intercourse may signal trouble, especially cardiovascular disease, down the road.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/erectile-dysfunction-and-heart-disease-whats-the-connection-2009031136
Harvard experts discuss benign prostatic hyperplasia drug treatments,"Three Harvard doctors talk about who needs to be treated for BPH, what medications should be prescribed, and what side effects you need to be aware of. ",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/harvard-experts-discuss-benign-prostatic-hyperplasia-drug-treatments-2009031135
Your benign prostatic hyperplasia medication: When to consider a change,A look at treatment options and trade-offs,Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/your-benign-prostatic-hyperplasia-medication-when-to-consider-a-change-2009031134
Treating erectile dysfunction with penile implants,"Penile implants, an option patients with erectile dysfunction probably hear little about, might offer a lasting and satisfying “cure.” Abraham Morgentaler, M.D., director of Men’s Health Boston, explains how.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/treating-erectile-dysfunction-with-penile-implants-2009031132
Strength training exercises,Regular physical activity can help keep you — and your prostate — healthy,Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/strength-training-exercises-2009031131
Eating for prostate health (Part 1 of 2),"Two registered dietitians from Harvard-affiliated hospitals tout the benefits of fruits, vegetables, and whole grains",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/eating-for-prostate-health-part-1-of-2-2009031130
Complementary therapies for prostate disease: What works and what doesn’t,Harvard,Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/complementary-therapies-for-prostate-disease-what-works-and-what-doesnt-2009031129
Outcomes research in prostate disease,"When it comes to prostate cancer and other prostate diseases, how accurate are the statistics we hear? Can patients rely on reported figures to determine their risk of suffering complications such as incontinence and impotence? Why do data vary from one organization to another? Three experts discuss these questions and the growing field of outcomes research.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/outcomes-research-in-prostate-disease-2009031128
Maintaining physical and emotional health during prostate cancer treatment: A patient’s story,"Mr. Williams, a successful business owner in his mid-60s, describes how he was able to maintain his sex life and other aspects of his physical emotional well-being during and after treatment for prostate cancer.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/maintaining-physical-and-emotional-health-during-prostate-cancer-treatment-a-patients-story-2009031127
A patient’s story: Overcoming incontinence,"How one man persisted for almost two years in an effort to remedy one of the most bothersome possible side effects of prostate cancer treatment, and what men facing therapeutic decisions can learn from his experience.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/a-patients-story-overcoming-incontinence-2009031125
Androgen-independent prostate cancer,When cancer advances despite primary hormone therapy,Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/androgen-independent-prostate-cancer-2009031123
Answering key clinical questions,"An interview with renowned urology researcher E. David Crawford, M.D., about the state of clinical trials on prostate health",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/answering-key-clinical-questions-2009031121
Promising technologies for the treatment of prostate cancer,"Marc B. Garnick, M.D., provides an overview of possible treatments that need more study, including cryotherapy, HIFU, and focal therapies.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/promising-technologies-for-the-treatment-of-prostate-cancer-2009031120
How to handle a relapse after treatment for prostate cancer,"Marc B. Garnick, M.D., discusses what biochemical recurrence means and what your options are.",Harvard Prostate Knowledge,"March 11, 2009",https://www.health.harvard.edu/blog/how-to-handle-a-relapse-after-treatment-for-prostate-cancer-2009031122
Possible complications of hormone therapy,Three Harvard-affiliated physicians discuss the impact that hormone therapy can have on bones and cardiovascular health.,Harvard Prostate Knowledge,"March 10, 2009",https://www.health.harvard.edu/blog/possible-complications-of-hormone-therapy-2009031019
Intermittent hormone therapy for prostate cancer,"Marc B. Garnick, M.D., discusses this therapy, which aims to strike a balance between effective treatment and quality of life.",Harvard Prostate Knowledge,"March 10, 2009",https://www.health.harvard.edu/blog/intermittent-hormone-therapy-for-prostate-cancer-2009031017
Hormone therapy for prostate cancer,"Marc Garnick, M.D., Editor in Chief of the Annual Report on Prostate Diseases, discusses what you need to know about therapy: when it’s used, what your options are, and what doctors disagree about.","Marc Garnick, MD","March 10, 2009",https://www.health.harvard.edu/blog/hormone-therapy-for-prostate-cancer-2009031016
When to consider active surveillance,"Which men are candidates for active surveillance? Some studies suggest that men with low risk cancer should consider active surveillance over traditional treatment, but the evidence is mixed.",Harvard Prostate Knowledge,"March 10, 2009",https://www.health.harvard.edu/blog/when-to-consider-active-surveillance-2009031011
Early-stage prostate cancer: Treat or wait?,"When it comes to early-stage prostate cancer, there is no evidence that one treatment is better than another or that any treatment at all actually prolongs life. If you are diagnosed with early-stage prostate cancer, you’ll want to consider factors such as your values, your quality of life, and the potential side effects of various treatments before making a decision.","Marc Garnick, MD","March 10, 2009",https://www.health.harvard.edu/blog/early-stage-prostate-cancer-treat-or-wait-2009031010
